4	AU$34.86	https://www.etsy.com/au/listing/4386140128/minimalist-freshwater-pearl-bracelet
10	AU$37.07	https://www.etsy.com/au/listing/1780947158/18k-gold-chain-necklace-waterproof-cable
7	AU$18.28	https://www.etsy.com/au/listing/4323494716/16g-stainless-steel-seamless-hinged
4	AU$29.57	https://www.etsy.com/au/listing/1505854171/sterling-silver-minimalist-set-earring
8	AU$35.54	https://www.etsy.com/au/listing/4355950828/dainty-freshwater-pearl-necklace-with
3	AU$92.64	https://www.etsy.com/au/listing/1052053633/60th-birthday-gift-for-women-minimalist
28	US$20.	https://www.etsy.com/au/listing/1873197511/16g18g20g-gold-implant-grade-titanium
8	AU$14.47	https://www.etsy.com/au/listing/738185213/rings-name-ring-personalized-ring
2	AU$25.78	https://www.etsy.com/au/listing/938167955/hippie-necklace-olive-green-teardrop
6	AU$27.01	https://www.etsy.com/au/listing/4420057866/18k-gold-chain-necklace-cable-chain
6	AU$23.49	https://www.etsy.com/au/listing/1800586620/18g16g-titanium-dangle-huggie-hoop
2	AU$79.61	https://www.etsy.com/au/listing/1192825710/200-mm-round-cut-colorless-moissanite
5	AU$43.52	https://www.etsy.com/au/listing/1891065365/custom-womens-jewelry-storage-box-large
3	AU$8.34	https://www.etsy.com/au/listing/4363357146/personalized-jewellery-box-custom
